"chamber","month","canopy_gmes","leaf_gmesAvg1","leaf_gmesAvg2","leaf_gmes_sun","leaf_gmes_shH","leaf_gmes_shL","T_treatment","lgCanopy","lgSun","lgShH","lgShL","lgAvg1","lgAvg2"
"C01","Oct",NA,0.171346340375,0.186319007833333,0.186678161,0.21626434275,0.15601451975,"ambient",NA,5.22938606995103,5.37650146846808,5.04994907823881,5.14368689049114,5.22746030049392
"C01","Dec",0.180307593476149,0.210354191916667,0.221297523027778,0.2326110775,0.24318418525,0.188097306333333,"ambient",5.19466424510806,5.4493678636281,5.49381912022268,5.23695941580749,5.34879273813208,5.39950805416914
"C01","Jan",0.138456022251244,0.189980256125,0.189523440527778,0.1760414175,0.188609809333333,0.20391909475,"ambient",4.93055274633255,5.17071929405771,5.23968038015823,5.31772332081713,5.24692015162936,5.24451271358918
"C01","Feb",0.515210339283793,0.135007298125,0.148026531333333,0.15867208025,0.17406499775,0.111342516,"ambient",6.2445752430744,5.06683968420395,5.15942877974935,4.7126111799493,4.90532883716242,4.99739152346369
"C01","Mar",0.174802139606792,NA,NA,NA,NA,NA,"ambient",5.16365470345998,NA,NA,NA,NA,NA
"C01","Apr",0.0589571969621144,NA,NA,NA,NA,NA,"ambient",4.07681170540283,NA,NA,NA,NA,NA
"C02","Oct",0.309957649649122,0.329286232625,0.319701783166667,0.392268274,0.30053288425,0.26630419125,"warmed",5.73643567411155,5.97194597816341,5.70555717976841,5.58463923152442,5.79692738050652,5.7673886336751
"C02","Dec",0.182901443030149,0.127871118,0.155852525625,NA,0.18383393325,0.127871118,"warmed",5.20894744508767,NA,5.21403281339274,4.85102286603972,4.85102286603972,5.04891021156808
"C02","Jan",0.264643350406253,0.149821526625,0.1840384475,0.12032583725,0.25247228925,0.179317216,"warmed",5.57838307199647,4.79020337340307,5.53130149714838,5.18915639384885,5.0094447631955,5.21514468958553
"C02","Feb",0.436308269711038,0.180290529125,0.195779473638889,0.1897074495,0.226757362666667,0.17087360875,"warmed",6.07834903413522,5.24548314606977,5.42388055888338,5.14092415309436,5.19456960040476,5.27698889129605
"C02","Mar",0.416584357416054,0.179865045875,0.181432737916667,0.22378091975,0.184568122,0.135949172,"warmed",6.03208897991274,5.41066753643458,5.21801862026608,4.91228108058549,5.19220682455187,5.20088499502865
"C02","Apr",0.207382844890691,0.111767408975,0.145824115116667,0.0914800632,0.2139375274,0.13205475475,"warmed",5.33456657728607,4.51612106001573,5.36568404436518,4.88321664528914,4.71642000637164,4.98240120450311
"C03","Oct",0.251995316428374,0.18839300375,0.218208330166667,0.20814742,0.277838983,0.1686385875,"ambient",5.52941050173702,5.33824657865665,5.62704174804904,5.12775788948775,5.23853022636781,5.38545024941942
"C03","Dec",0.107128760699782,0.18888345325,0.2006668755,0.22029873375,0.22423372,0.15746817275,"ambient",4.67403148201733,5.39498450594793,5.4126889007562,5.05922336006744,5.24113017538226,5.30164619733784
"C03","Jan",NA,0.164664209875,0.174040849166667,0.183537761,0.19279412775,0.14579065875,"ambient",NA,5.21242042834076,5.26162292398438,4.98217174859202,5.10390830862106,5.15929003698713
"C03","Feb",0.288674663003533,0.208885838625,0.213293486,0.21789855325,0.22210878075,0.199873124,"ambient",5.66530032044669,5.38402960241499,5.40316726523821,5.2976827852439,5.34178787605403,5.36266908586423
"C03","Mar",0.127572896763232,NA,NA,NA,NA,NA,"ambient",4.8486879405373,NA,NA,NA,NA,NA
