"T_treatment","W_treatment","gmesTem","gmesTemSe","gsTem","gsTemSE","Atem","AtemSE","iWUEtem","iWUEtemSE"
"ambient","control",0.372101852692419,0.0535640734545489,0.122187921709948,0.0118991382903331,9.76772563696316,0.775889710463212,89.236759830712,6.11056205251841
"ambient","drydown",0.253990053159199,0.105217072536373,0.117632009517962,0.00378092222247072,8.36209467117135,0.100565310248189,76.7666726486348,4.6663315584333
"warmed","control",0.247978152759802,0.035100801528958,0.0858166248979181,0.00919707952337079,6.94989415228753,0.816721927508103,94.003270109482,8.31754617321428
"warmed","drydown",0.203731391730104,0.0414545801951716,0.0669476340389936,0.00976561621481629,5.37426670096831,0.565393860118462,92.7893629023254,8.3267127325506
