"one","intercept","interceptSE","interceptP","slope","slopeSE","slopeP","R2"
" Ci1",150.5,60.3,0.016,0.39,0.25,0.129,0.05
" Ci1b",150.5,60.3,0.016,0.36,0.23,0.129,0.05
" Ci2",78.1,37.1,0.041,0.61,0.13,0,0.32
" Ci3",73,43.5,0.1,0.56,0.14,0,0.26
" Ci4",76,43.8,0.089,0.55,0.14,0,0.25
" Ci5",85,41.4,0.046,0.53,0.13,0,0.26
