"one","two","intercept","interceptSE","interceptP","slope","slopeSE","slopeP","R2m","R2c"
"iWUEgeMD "," iWUEph_uncorrMD",65,23.1,0.008,0.35,0.25,0.178,0.04,0.04
"iWUEgeMD "," iWUEph_corrMD",46,13.1,0.001,0.61,0.16,0.001,0.23,0.23
"iWUEgeMD "," iWUEph_corrMDmyAv",29.8,17.4,0.097,0.61,0.16,0.001,0.23,0.23
"iWUEgeMD "," iWUEleafAvg_uncorrMD",82.2,33.1,0.018,0.14,0.32,0.669,0,0
"iWUEgeMD "," iWUEleafAvg_corrMD",45.6,17.1,0.012,0.55,0.19,0.007,0.15,0.15
"d13Cph "," d13CAnet",-23,2.9,0,0.26,0.1,0.017,0.11,0.14
"d13Cph "," d13CAnet",-5.5,2.9,0.07,0.85,0.1,0,0.68,0.68
"d13Cph "," d13CleafAvg",-8.9,6,0.144,0.73,0.21,0.001,0.18,0.28
