flux_campaign,day,Date,time,RECORD,SiteOutput,chamber,line,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
1,2,20/10/2013,7:49:00 AM,3849,3,cal1,ref,150.5,771.137,8.372017,19.99909,400.0491,478.2428,146.1849,196.6018,100,774.2057,8.329765,-37.62057
1,2,20/10/2013,7:49:20 AM,3850,4,cal2,ref,150.5,317.9912,3.466487,19.99466,400.0159,479.3658,129.5475,196.8428,100,322.9221,3.475279,-37.36459
1,2,20/10/2013,7:49:40 AM,3851,5,4,ref,150.5,404.494,4.526696,20.00115,399.9805,462.3506,90.13041,197.092,100,408.6682,4.526806,-9.188687
1,2,20/10/2013,7:50:00 AM,3852,6,4,samp,150.5,417.0641,4.655626,20.00108,399.9833,462.2692,67.82275,197.3379,100,421.1818,4.654533,-11.50065
1,2,20/10/2013,7:50:20 AM,3853,11,5,ref,150.5,405.1157,4.533014,20.00379,399.9897,460.1671,105.1494,196.8676,100,409.2946,4.53318,-9.312183
1,2,20/10/2013,7:50:40 AM,3854,12,5,samp,150.5,424.5753,4.740526,19.99824,399.9969,459.9679,103.8939,196.908,100,428.6486,4.738603,-11.17623
1,2,20/10/2013,7:51:00 AM,3855,9,3,ref,150.5,407.0917,4.554916,20.00224,399.9995,460.7567,82.26388,197.0254,100,411.2629,4.554852,-9.339881
1,2,20/10/2013,7:51:20 AM,3856,10,3,samp,150.5,423.3488,4.731887,19.99314,399.9998,462.1799,50.69397,197.0514,100,427.4308,4.729986,-10.16249
1,2,20/10/2013,7:51:40 AM,3857,13,10,ref,150.5,404.0471,4.521765,20.00301,399.9988,460.8729,78.19443,197.0318,100,408.2239,4.521956,-9.172933
1,2,20/10/2013,7:52:00 AM,3858,14,10,samp,150.5,421.3458,4.706583,20.00497,399.9974,460.0795,95.96482,197.0503,100,425.4432,4.705,-10.79128
1,2,20/10/2013,7:52:20 AM,3859,15,8,ref,150.5,406.3868,4.547384,20.00202,399.9998,460.4786,86.39638,197.4016,100,410.563,4.547422,-9.269656
1,2,20/10/2013,7:52:40 AM,3860,16,8,samp,150.5,420.4709,4.693682,20.00744,399.9991,460.1122,95.23361,197.5243,100,424.5767,4.692257,-11.45701
1,2,20/10/2013,7:53:00 AM,3861,17,11,ref,150.5,406.2834,4.546001,19.99579,399.9944,460.071,97.25806,197.0431,100,410.4695,4.54623,-9.303968
1,2,20/10/2013,7:53:20 AM,3862,18,11,samp,150.5,421.3941,4.706219,19.99422,400.0011,460.452,89.37105,197.0069,100,425.4886,4.704616,-10.97747
1,2,20/10/2013,7:53:40 AM,3863,5,4,ref,150.5,402.7481,4.507218,20.00247,399.9999,460.4082,90.01944,197.2499,100,406.9433,4.507685,-9.19197
1,2,20/10/2013,7:54:00 AM,3864,6,4,samp,150.5,414.4432,4.625983,19.99789,400.0038,461.3608,67.61676,197.5736,100,418.5797,4.625236,-11.61621
1,2,20/10/2013,7:54:20 AM,3865,11,5,ref,150.5,406.7592,4.55091,20.00212,400.0007,459.8161,105.0373,197.1049,100,410.9273,4.550862,-9.399386
1,2,20/10/2013,7:54:40 AM,3866,12,5,samp,150.5,421.996,4.711735,19.99513,400.0011,459.8476,103.7549,197.1502,100,426.0919,4.710104,-11.226
1,2,20/10/2013,7:55:00 AM,3867,9,3,ref,150.5,405.8282,4.540861,19.99507,400.0004,460.7953,82.01318,197.3616,100,409.9848,4.540746,-9.329295
1,2,20/10/2013,7:55:20 AM,3868,10,3,samp,150.5,421.2406,4.708315,19.99868,399.9975,462.3114,50.57992,197.2879,100,425.333,4.706658,-10.18623
1,2,20/10/2013,7:55:40 AM,3869,13,10,ref,150.5,405.2982,4.535761,20.0022,399.9987,460.998,78.06033,197.27,100,409.4736,4.535856,-9.160549
1,2,20/10/2013,7:56:00 AM,3870,14,10,samp,150.5,418.9259,4.680141,20.00207,400.0016,460.2412,95.74525,197.3617,100,423.028,4.678805,-10.68223
1,2,20/10/2013,7:56:20 AM,3871,15,8,ref,150.5,406.1544,4.544795,19.99807,399.9996,460.6452,86.28334,197.5873,100,410.3336,4.54492,-9.261295
1,2,20/10/2013,7:56:40 AM,3872,16,8,samp,150.5,418.695,4.673556,20.00043,399.9994,460.2873,95.08155,197.7262,100,422.8104,4.67235,-11.53886
1,2,20/10/2013,7:57:00 AM,3873,17,11,ref,150.5,405.6914,4.540121,19.99844,400.0007,460.2479,97.14433,197.2097,100,409.8551,4.540066,-9.164138
1,2,20/10/2013,7:57:20 AM,3874,18,11,samp,150.5,419.0645,4.680851,19.99782,400.0002,460.628,89.29893,197.1437,100,423.1704,4.679513,-10.86587
1,2,20/10/2013,7:57:40 AM,3875,3,cal1,ref,150.5,771.4872,8.373863,20.0079,400.0423,478.5048,146.029,196.7787,100,773.7615,8.335257,-36.43325
1,2,20/10/2013,7:58:00 AM,3876,4,cal2,ref,150.5,318.0992,3.467677,19.99618,400.0128,479.6015,129.0067,197.025,100,322.7303,3.478556,-35.88443
1,2,20/10/2013,7:58:20 AM,3877,5,4,ref,150.5,407.3405,4.558632,20.00143,399.9795,462.5324,90.08726,197.1817,100,411.3549,4.557142,-9.063676
1,2,20/10/2013,7:58:40 AM,3878,6,4,samp,150.5,412.7672,4.608571,19.99627,399.9894,462.5113,67.77144,197.3771,100,416.7502,4.606668,-11.26249
1,2,20/10/2013,7:59:00 AM,3879,11,5,ref,150.5,407.568,4.561077,20.00507,399.9922,460.397,104.979,197.0505,100,411.5796,4.559642,-9.061017
1,2,20/10/2013,7:59:20 AM,3880,12,5,samp,150.5,419.6708,4.687454,20.00182,399.9979,460.1633,103.7429,197.0855,100,423.6121,4.684729,-10.79564
1,2,20/10/2013,7:59:40 AM,3881,9,3,ref,150.5,407.6006,4.561794,19.99734,400.0015,460.9979,82.03642,197.2456,100,411.6108,4.560319,-8.989282
1,2,20/10/2013,8:00:00 AM,3882,10,3,samp,150.5,418.977,4.685005,19.98809,399.9996,462.4341,50.57063,197.1212,100,422.9258,4.68229,-9.706358
1,2,20/10/2013,8:00:20 AM,3883,13,10,ref,150.5,404.8242,4.531524,20.00212,400.0002,461.0759,78.04916,197.1309,100,408.8347,4.530193,-8.851104
1,2,20/10/2013,8:00:40 AM,3884,14,10,samp,150.5,417.278,4.663432,20.00182,400.0015,460.3121,95.75304,197.1803,100,421.1933,4.660524,-10.25505
1,2,20/10/2013,8:01:00 AM,3885,15,8,ref,150.5,405.5717,4.53963,20.0008,399.9995,460.6926,86.26907,197.4666,100,409.5932,4.53837,-8.9009
1,2,20/10/2013,8:01:20 AM,3886,16,8,samp,150.5,417.4626,4.661936,19.99963,400.0015,460.3361,94.99606,197.6471,100,421.4215,4.659483,-11.01205
1,2,20/10/2013,8:01:40 AM,3887,17,11,ref,150.5,403.5498,4.517713,20.00028,400.0023,460.337,97.16342,197.0629,100,407.5784,4.516597,-8.779913
1,2,20/10/2013,8:02:00 AM,3888,18,11,samp,150.5,416.6768,4.656044,20.00089,400.002,460.7174,89.30408,197.0738,100,420.6352,4.653569,-10.42083
1,2,20/10/2013,8:02:20 AM,3889,5,4,ref,150.5,402.8446,4.510286,20.00015,400.0053,460.7126,90.02668,197.2107,100,406.8771,4.509282,-8.679747
1,2,20/10/2013,8:02:40 AM,3890,6,4,samp,150.5,411.2741,4.592792,19.99732,400.001,461.706,67.61417,197.5426,100,415.2631,4.591012,-11.09407
1,2,20/10/2013,8:03:00 AM,3891,11,5,ref,150.5,404.1971,4.524503,20.00207,400.0002,460.1046,104.9306,197.1943,100,408.2336,4.52348,-8.862622
1,2,20/10/2013,8:03:20 AM,3892,12,5,samp,150.5,417.5699,4.664669,19.99903,400.0021,460.2073,103.6823,197.2457,100,421.5277,4.662204,-10.68406
1,2,20/10/2013,8:03:40 AM,3893,9,3,ref,150.5,405.1107,4.534678,19.99943,400.0017,461.1371,81.98686,197.4153,100,409.1292,4.533425,-8.858049
1,2,20/10/2013,8:04:00 AM,3894,10,3,samp,150.5,417.243,4.665872,20.00271,399.999,462.6251,50.38743,197.2866,100,421.1967,4.663307,-9.672235
1,2,20/10/2013,8:04:20 AM,3895,13,10,ref,150.5,405.6768,4.541539,20.00376,399.9981,461.2641,77.89814,197.4441,100,409.6787,4.540022,-8.746906
1,2,20/10/2013,8:04:40 AM,3896,14,10,samp,150.5,416.3157,4.653271,20.00204,399.9984,460.5071,95.61235,197.4548,100,420.2494,4.6506,-10.14453
1,2,20/10/2013,8:05:00 AM,3897,15,8,ref,150.5,408.169,4.568857,19.99914,400.0018,460.8631,86.15134,197.7032,100,412.1678,4.567192,-8.837149
1,2,20/10/2013,8:05:20 AM,3898,16,8,samp,150.5,415.8123,4.64326,20.00336,400.0003,460.5068,94.92941,197.8613,100,419.7774,4.640985,-11.08014
1,2,20/10/2013,8:05:40 AM,3899,17,11,ref,150.5,408.0784,4.568044,19.99828,400.0023,460.5093,97.10393,197.2169,100,412.0892,4.566523,-8.793127
1,2,20/10/2013,8:06:00 AM,3900,18,11,samp,150.5,414.4267,4.631489,19.99866,400.0023,460.8653,89.25199,197.1582,100,418.3957,4.629295,-10.31369
1,2,20/10/2013,8:06:20 AM,3901,3,cal1,ref,150.5,771.3463,8.376381,19.99946,400.0466,478.7912,145.9605,196.7954,100,773.2628,8.335919,-35.73522
1,2,20/10/2013,8:06:40 AM,3902,4,cal2,ref,150.5,317.9683,3.468325,20.00076,400.0098,479.9048,128.7608,197.0532,100,322.4926,3.478033,-35.31896
1,2,20/10/2013,8:07:00 AM,3903,5,4,ref,150.5,407.9095,4.567261,19.99715,399.9796,462.8146,89.93376,197.2464,100,412.0555,4.564717,-9.104165
1,2,20/10/2013,8:07:20 AM,3904,6,4,samp,150.5,410.1075,4.581657,20.00053,399.9923,462.7309,67.56601,197.5205,100,414.222,4.578771,-11.25183
1,2,20/10/2013,8:07:40 AM,3905,11,5,ref,150.5,407.5773,4.562713,20.00245,399.9911,460.5753,104.9273,197.1007,100,411.7228,4.560202,-9.284299
1,2,20/10/2013,8:08:00 AM,3906,12,5,samp,150.5,415.0526,4.638411,20.0001,399.9946,460.3907,103.6432,197.2649,100,419.149,4.635012,-10.87214
1,2,20/10/2013,8:08:20 AM,3907,9,3,ref,150.5,408.6898,4.575174,19.99808,400.0002,461.2379,81.90684,197.4599,100,412.8257,4.57248,-9.270454
1,2,20/10/2013,8:08:40 AM,3908,10,3,samp,150.5,419.9719,4.695484,19.99706,400.0015,462.6973,50.2444,197.4189,100,424.0381,4.691481,-10.36505
1,2,20/10/2013,8:09:00 AM,3909,13,10,ref,150.5,406.863,4.555029,20.005,400.0003,461.3612,77.87122,197.4756,100,411.0094,4.552575,-9.224429
1,2,20/10/2013,8:09:20 AM,3910,14,10,samp,150.5,414.536,4.632897,20.00064,400.0009,460.6241,95.54642,197.5931,100,418.6367,4.629629,-10.81227
1,2,20/10/2013,8:09:40 AM,3911,15,8,ref,150.5,407.2149,4.558341,19.9954,400.0011,461.0445,85.98786,197.9142,100,411.3517,4.555746,-9.359437
1,2,20/10/2013,8:10:00 AM,3912,16,8,samp,150.5,414.0574,4.624053,20.00687,400.0003,460.6592,94.66628,198.1593,100,418.1582,4.620783,-11.57226
1,2,20/10/2013,8:10:20 AM,3913,17,11,ref,150.5,406.5868,4.551918,19.99964,400.0014,460.6163,96.99883,197.3957,100,410.7254,4.549439,-9.22235
1,2,20/10/2013,8:10:40 AM,3914,18,11,samp,150.5,412.8543,4.61331,20.00017,400.0003,460.9852,89.16206,197.3357,100,416.9618,4.610181,-11.01048
1,2,20/10/2013,8:11:00 AM,3915,5,4,ref,150.5,406.125,4.547113,19.9983,400.0474,460.8966,89.83795,197.436,100,410.2658,4.544687,-9.148604
