flux_campaign,day,Date,time,RECORD,SiteOutput,chamber,line,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
5,1,22/03/2014,6:39:20 AM,2714,10,3,samp,150.5,532.0009,5.964148,20.00679,399.9993,425.2843,54.0193,201.1334,100,542.1212,5.985778,-12.3702
5,1,22/03/2014,6:39:40 AM,2715,13,10,ref,150.5,502.245,5.634455,20.00307,399.999,424.332,75.17586,201.0975,100,512.1708,5.6579,-11.87834
5,1,22/03/2014,6:40:00 AM,2716,14,10,samp,150.5,526.2602,5.900693,20.00379,400.0013,423.5056,92.44411,201.1486,100,536.342,5.922655,-12.25581
5,1,22/03/2014,6:40:20 AM,2717,11,5,ref,150.5,501.1168,5.622236,20.0023,399.999,423.0982,101.0915,201.1582,100,511.0482,5.645905,-11.80738
5,1,22/03/2014,6:40:40 AM,2718,12,5,samp,150.5,543.111,6.086374,19.99906,400.0003,423.1895,99.35233,201.1723,100,553.3176,6.107417,-12.69115
5,1,22/03/2014,6:41:00 AM,2719,15,9,ref,150.5,496.2802,5.56888,19.99684,400.0005,423.8885,83.4814,201.1416,100,506.1425,5.592459,-11.67473
5,1,22/03/2014,6:41:20 AM,2720,16,9,samp,150.5,535.8787,6.006851,20.00351,400.0002,423.4665,92.35142,201.2689,100,546.028,6.028269,-12.47594
5,1,22/03/2014,6:41:40 AM,2721,17,12,ref,150.5,504.758,5.662705,20.00144,399.9995,423.3757,94.00045,201.185,100,514.6599,5.685577,-11.84715
5,1,22/03/2014,6:42:00 AM,2722,18,12,samp,150.5,556.0735,6.229219,20.00292,400.0006,423.7295,85.76524,201.194,100,566.3646,6.24951,-12.99389
5,1,22/03/2014,6:42:20 AM,2723,5,4,ref,150.5,495.6508,5.561323,20.00685,400.0007,423.8664,83.7032,201.1263,100,505.513,5.585025,-11.75932
5,1,22/03/2014,6:42:40 AM,2724,6,4,samp,150.5,526.0291,5.89822,19.99541,400.0008,424.7816,63.851,201.1051,100,536.1062,5.920192,-12.23229
5,1,22/03/2014,6:43:00 AM,2725,9,3,ref,150.5,499.0092,5.59906,19.99827,399.9988,424.1169,78.43314,201.1376,100,508.8625,5.622105,-11.74645
5,1,22/03/2014,6:43:20 AM,2726,10,3,samp,150.5,531.076,5.953467,20.00448,400.0023,425.2448,53.9638,201.1431,100,541.1905,5.975181,-12.42341
5,1,22/03/2014,6:43:40 AM,2727,13,10,ref,150.5,503.5578,5.648872,19.99998,399.9994,424.2777,75.15947,201.1299,100,513.4808,5.672109,-11.92429
5,1,22/03/2014,6:44:00 AM,2728,14,10,samp,150.5,525.8236,5.895492,20.0013,400.001,423.4742,92.42136,201.1661,100,535.8985,5.917483,-12.30136
5,1,22/03/2014,6:44:20 AM,2729,11,5,ref,150.5,502.5834,5.638615,20.00286,400.0007,423.1098,101.0972,201.1709,100,512.5051,5.662006,-11.80633
5,1,22/03/2014,6:44:40 AM,2730,12,5,samp,150.5,542.3867,6.078192,20.0027,400.0005,423.1825,99.3428,201.1763,100,552.5806,6.09922,-12.70115
5,1,22/03/2014,6:45:00 AM,2731,3,cal1,ref,150.5,761.6696,8.322848,20.00402,400.0138,441.9445,128.7484,200.7164,100,773.4046,8.332343,-36.32562
5,1,22/03/2014,6:45:20 AM,2732,4,cal2,ref,150.5,314.0447,3.442491,19.99811,400.0031,443.5194,138.4874,200.9924,100,322.6364,3.477104,-36.00613
5,1,22/03/2014,6:45:40 AM,2733,15,9,ref,150.5,496.4155,5.570058,20.0013,399.9963,426.1989,83.45948,201.1163,100,506.2745,5.594309,-11.60546
5,1,22/03/2014,6:46:00 AM,2734,16,9,samp,150.5,534.8185,5.994498,20.00243,399.9988,424.6057,92.37753,201.2589,100,544.956,6.016713,-12.43027
5,1,22/03/2014,6:46:20 AM,2735,17,12,ref,150.5,500.4808,5.61504,20.00192,399.9977,424.0128,94.06626,201.133,100,510.3915,5.639291,-11.69487
5,1,22/03/2014,6:46:40 AM,2736,18,12,samp,150.5,555.5687,6.223299,20.00219,399.9982,424.076,85.76207,201.1975,100,565.8531,6.244314,-12.92317
5,1,22/03/2014,6:47:00 AM,2737,5,4,ref,150.5,498.9223,5.597903,20.00152,399.9996,424.036,83.75435,201.0995,100,508.8148,5.622156,-11.64464
5,1,22/03/2014,6:47:20 AM,2738,6,4,samp,150.5,525.2442,5.889081,19.99857,400.0008,424.8718,63.93522,201.0838,100,535.3109,5.911757,-12.17412
5,1,22/03/2014,6:47:40 AM,2739,9,3,ref,150.5,495.4906,5.559855,19.99946,399.9996,424.1111,78.48605,201.1005,100,505.3534,5.584194,-11.59429
5,1,22/03/2014,6:48:00 AM,2740,10,3,samp,150.5,530.0445,5.942404,19.99725,400.0005,425.2182,54.05481,201.1143,100,540.146,5.964846,-12.22504
5,1,22/03/2014,6:48:20 AM,2741,13,10,ref,150.5,501.6043,5.627911,20.00582,400,424.1809,75.18967,201.1183,100,511.536,5.652215,-11.64642
5,1,22/03/2014,6:48:40 AM,2742,14,10,samp,150.5,525.2341,5.889658,19.99756,400.0012,423.4124,92.44042,201.1719,100,535.3042,5.912358,-12.06129
5,1,22/03/2014,6:49:00 AM,2743,11,5,ref,150.5,497.4081,5.581382,20.00303,399.9992,422.9529,101.1427,201.1666,100,507.2874,5.605738,-11.56379
5,1,22/03/2014,6:49:20 AM,2744,12,5,samp,150.5,541.5349,6.068777,20.00292,400.0013,423.0167,99.35684,201.215,100,551.7184,6.090595,-12.55668
5,1,22/03/2014,6:49:40 AM,2745,15,9,ref,150.5,494.7437,5.551747,19.99619,400.0022,423.6774,83.49805,201.1402,100,504.5933,5.576102,-11.53988
5,1,22/03/2014,6:50:00 AM,2746,16,9,samp,150.5,533.8864,5.98463,19.99728,400.0009,423.2921,92.37518,201.2904,100,544.0156,6.006923,-12.33293
5,1,22/03/2014,6:50:20 AM,2747,17,12,ref,150.5,493.7804,5.541271,19.99874,399.9996,423.2164,94.06671,201.1611,100,503.6379,5.565729,-11.5071
5,1,22/03/2014,6:50:40 AM,2748,18,12,samp,150.5,554.8611,6.215401,20.00144,400.0018,423.547,85.79017,201.2207,100,565.1435,6.236533,-12.91534
5,1,22/03/2014,6:51:00 AM,2749,5,4,ref,150.5,492.5486,5.528028,19.98999,400.0013,423.6719,83.72266,201.1279,100,502.3898,5.552521,-11.40305
5,1,22/03/2014,6:51:20 AM,2750,6,4,samp,150.5,524.5917,5.881692,19.9966,400.0011,424.562,63.89223,201.1395,100,534.6506,5.904373,-12.18942
5,1,22/03/2014,6:51:40 AM,2751,9,3,ref,150.5,497.5509,5.583241,19.99907,399.9989,423.8588,78.46037,201.1656,100,507.4353,5.607538,-11.53456
5,1,22/03/2014,6:52:00 AM,2752,10,3,samp,150.5,529.1348,5.932068,19.99966,400.0909,425.0031,54.07719,201.1522,100,539.2312,5.954566,-12.25439
5,1,22/03/2014,6:52:20 AM,2753,13,10,ref,150.5,493.829,5.541732,19.99854,400,424.0647,75.1937,201.1434,100,503.6727,5.566153,-11.49992
5,1,22/03/2014,6:52:40 AM,2754,14,10,samp,150.5,524.5499,5.881119,20.00768,399.9968,423.3025,92.44395,201.1924,100,534.6165,5.903902,-12.20547
5,1,22/03/2014,6:53:00 AM,2755,11,5,ref,150.5,507.3645,5.691011,20.00256,400,422.8978,101.1189,201.2231,100,517.2951,5.714528,-11.87497
5,1,22/03/2014,6:53:20 AM,2756,12,5,samp,150.5,540.6702,6.059026,19.99985,400.0021,422.9569,99.34595,201.228,100,550.854,6.080914,-12.57932
5,1,22/03/2014,6:53:40 AM,2757,3,cal1,ref,150.5,761.4008,8.320537,19.99969,400.0156,441.7479,128.7805,200.7712,100,773.1418,8.331184,-36.13213
5,1,22/03/2014,6:54:00 AM,2758,4,cal2,ref,150.5,313.9674,3.44164,19.99987,400.0006,443.3568,138.7258,201.0394,100,322.541,3.476501,-35.88816
5,1,22/03/2014,6:54:20 AM,2759,15,9,ref,150.5,498.79,5.596154,20.00022,399.9934,426.0821,83.44183,201.2028,100,508.8217,5.621662,-11.74513
5,1,22/03/2014,6:54:40 AM,2760,16,9,samp,150.5,532.9343,5.974084,19.99846,399.9954,424.512,92.327,201.3378,100,543.2321,5.997991,-12.37905
5,1,22/03/2014,6:55:00 AM,2761,17,12,ref,150.5,496.7725,5.574053,19.99956,399.9974,423.9641,94.04317,201.2009,100,506.7832,5.599644,-11.65582
5,1,22/03/2014,6:55:20 AM,2762,18,12,samp,150.5,553.8006,6.203977,20.00352,400.0007,424.0572,85.75391,201.239,100,564.2508,6.226782,-12.89945
5,1,22/03/2014,6:55:40 AM,2763,5,4,ref,150.5,497.1777,5.578421,20.00205,399.9997,424.0386,83.70615,201.2129,100,507.1964,5.604037,-11.68655
