flux_campaign,day,Date,time,RECORD,SiteOutput,chamber,line,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
4,1,22/02/2014,6:22:40 AM,2870,18,11,samp,150.5,454.6709,5.103689,20.00227,399.9991,442.118,90.92612,195.5737,100,464.1461,5.131582,-11.06775
4,1,22/02/2014,6:23:00 AM,2871,9,3,ref,150.5,419.6934,4.717495,19.99944,399.9989,442.4012,83.7476,195.5592,100,428.9616,4.747563,-10.02945
4,1,22/02/2014,6:23:20 AM,2872,10,3,samp,150.5,444.9722,4.996635,19.99775,399.9986,443.8038,54.2583,195.5681,100,454.3927,5.025113,-10.79944
4,1,22/02/2014,6:23:40 AM,2873,11,8,ref,150.5,433.5951,4.871974,20.00404,399.9999,441.3422,105.7879,195.5812,100,442.9299,4.90099,-10.26537
4,1,22/02/2014,6:24:00 AM,2874,12,8,samp,150.5,460.2529,5.164995,19.99979,400.0006,441.44,103.9976,195.7169,100,469.7653,5.192573,-11.28381
4,1,22/02/2014,6:24:20 AM,2875,15,9,ref,150.5,434.0891,4.877442,19.99546,400,442.1549,88.77556,195.6062,100,443.4297,4.906496,-10.27051
4,1,22/02/2014,6:24:40 AM,2876,16,9,samp,150.5,446.9545,5.01853,19.99863,399.9991,441.7511,97.71603,195.6983,100,456.3824,5.046881,-10.8454
4,1,22/02/2014,6:25:00 AM,2877,13,10,ref,150.5,434.8412,4.885795,20.00402,399.9999,442.4989,80.43925,195.5804,100,444.2006,4.914992,-10.27706
4,1,22/02/2014,6:25:20 AM,2878,14,10,samp,150.5,449.0194,5.042077,20.00566,399.9986,441.6801,97.69852,195.6334,100,458.4683,5.070374,-10.76257
4,1,22/02/2014,6:25:40 AM,2879,5,4,ref,150.5,422.0187,4.743358,19.99792,399.9985,442.0815,89.32383,195.5882,100,431.2615,4.772887,-10.05658
4,1,22/02/2014,6:26:00 AM,2880,6,4,samp,150.5,442.804,4.972966,19.99975,399.9964,443.0223,69.26348,195.5532,100,452.2076,5.001577,-10.67483
4,1,22/02/2014,6:26:20 AM,2881,17,11,ref,150.5,435.0745,4.888099,20.00189,400,441.6979,98.6181,195.6263,100,444.4197,4.917064,-10.34802
4,1,22/02/2014,6:26:40 AM,2882,18,11,samp,150.5,454.6842,5.103754,20.00236,399.9982,442.0731,90.9248,195.6131,100,464.1613,5.131625,-11.09179
4,1,22/02/2014,6:27:00 AM,2883,9,3,ref,150.5,427.7308,4.806329,20.00217,400.0002,442.3444,83.78442,195.606,100,437.041,4.835851,-10.26137
4,1,22/02/2014,6:27:20 AM,2884,10,3,samp,150.5,444.7295,4.993684,19.9991,400,443.7477,54.26535,195.6013,100,454.1449,5.022156,-10.84205
4,1,22/02/2014,6:27:40 AM,2885,11,8,ref,150.5,438.3813,4.923859,20.00848,400.0001,441.3293,105.824,195.643,100,447.7606,4.952776,-10.59804
4,1,22/02/2014,6:28:00 AM,2886,12,8,samp,150.5,460.229,5.164745,20.00336,399.9997,441.3902,104.014,195.7499,100,469.7479,5.192307,-11.29786
4,1,22/02/2014,6:28:20 AM,2887,3,cal1,ref,150.5,761.9027,8.322073,20.00389,400.0251,460.6879,140.1015,195.3447,100,773.3749,8.33298,-36.21498
4,1,22/02/2014,6:28:40 AM,2888,4,cal2,ref,150.5,314.0722,3.440656,19.99921,400.0032,462.0449,142.0764,195.599,100,322.6414,3.47736,-35.95004
4,1,22/02/2014,6:29:00 AM,2889,15,9,ref,150.5,425.7562,4.784558,19.99948,399.9882,444.2224,88.7982,195.6392,100,434.9912,4.813737,-10.14438
4,1,22/02/2014,6:29:20 AM,2890,16,9,samp,150.5,446.8424,5.017281,20.00071,399.9955,442.8689,97.72308,195.7489,100,456.2688,5.04579,-10.81309
4,1,22/02/2014,6:29:40 AM,2891,13,10,ref,150.5,415.83,4.67508,19.99503,399.9979,443.0963,80.4369,195.6565,100,425.0486,4.705368,-9.795629
4,1,22/02/2014,6:30:00 AM,2892,14,10,samp,150.5,448.2664,5.033294,20.00006,399.9977,442.0178,97.69028,195.6968,100,457.7001,5.061793,-10.77886
4,1,22/02/2014,6:30:20 AM,2893,5,4,ref,150.5,422.7445,4.751421,20.00487,399.9999,442.2592,89.34045,195.6609,100,432.0173,4.781403,-10.02516
4,1,22/02/2014,6:30:40 AM,2894,6,4,samp,150.5,442.7084,4.972154,20.00159,400.0008,443.0485,69.24645,195.651,100,452.1047,5.000872,-10.58923
4,1,22/02/2014,6:31:00 AM,2895,17,11,ref,150.5,419.8775,4.719697,20.00018,399.9978,441.703,98.61868,195.6816,100,429.1599,4.750121,-9.953957
4,1,22/02/2014,6:31:20 AM,2896,18,11,samp,150.5,454.4498,5.101219,20.00207,400.0005,442.0428,90.91434,195.667,100,463.9329,5.129315,-11.05037
